Genes	Healthy_Sample_1	Healthy_Sample_2	Healthy_Sample_3	Healthy_Sample_4	Healthy_Sample_5	Healthy_Sample_6	Healthy_Sample_7	Healthy_Sample_8	Healthy_Sample_9	Healthy_Sample_10	Healthy_Sample_11	Healthy_Sample_12	Healthy_Sample_13	Healthy_Sample_14	Healthy_Sample_15	Healthy_Sample_16	Healthy_Sample_17	Healthy_Sample_18	Healthy_Sample_19	Healthy_Sample_20	Healthy_Sample_21	Healthy_Sample_22	Healthy_Sample_23	Healthy_Sample_24	Healthy_Sample_25	Healthy_Sample_26	Healthy_Sample_27	Healthy_Sample_28	Healthy_Sample_29	Healthy_Sample_30	Healthy_Sample_31	Healthy_Sample_32	Healthy_Sample_33	Healthy_Sample_34	Healthy_Sample_35	Healthy_Sample_36	Healthy_Sample_37	Healthy_Sample_38	Healthy_Sample_39	Healthy_Sample_40	Healthy_Sample_41	Healthy_Sample_42	Healthy_Sample_43	Healthy_Sample_44	Healthy_Sample_45	Healthy_Sample_46	Healthy_Sample_47	Healthy_Sample_48	Healthy_Sample_49	Healthy_Sample_50
Gene_1	148.831263060236	28.1110930958084	21.2496788768274	30.5534400572808	24.0442888635237	17.8774310815549	27.9022207475842	15.547575710196	44.2148071908324	10.6410113852422	34.8988198884765	10.2759452165587	12.520489180021	23.3422176738772	21.590900219158	33.8479582880642	22.7150906939904	28.1110930958084	102.33978883358	74.1583064605287	23.1507393001381	11.9035438880156	194.789404521219	14.1497806325212	17.497489745083	34.1792835759368	102.33978883358	27.4160190939664	10.1974785935761	27.9022207475842	194.789404521219	5.03857859606835	70.4181244348388	22.5441368041107	5.53409873247811	27.4160190939664	34.1792835759368	114.566216074651	80.0192017712358	166.157261065325	15.0328509224266	32.666796662499	20.9808767648424	86.3063973318494	30.014779884529	13.3629927795396	30.820146156842	34.1792835759368	39.6699644855061	102.33978883358
Gene_2	44.862155362908	21.1361964452699	38.1747344366478	23.8754149027274	10.4946944026664	22.861279377073	194.789404521219	22.2403840073675	74.1583064605287	28.1110930958084	102.33978883358	11.0480310045885	15.2138996044701	21.1361964452699	30.2955227107951	29.2786869087839	19.9075978306534	34.5224639013784	25.8023015973525	29.0317041158245	16.8228910831014	31.6831485782793	39.1583742644538	13.2618982297514	23.4820471925886	29.7497622801261	16.4302806668997	32.9257757739028	21.2496788768274	71.6947252888393	25.8023015973525	13.633967072425	32.666796662499	31.3597955123607	12.7036134161858	43.2030607580277	93.0063502603473	25.5972319118266	122.358525570531	71.6947252888393	43.2030607580277	62.9485818877353	15.1219683837163	107.000851944588	30.820146156842	17.8774310815549	94.6327670427977	18.1252573446668	18.8532227471988	32.3254463744763
Gene_3	20.8129462967356	34.1792835759368	31.0936890938052	32.9257757739028	12.1669692419542	33.8479582880642	16.0891491291114	18.3692821219766	62.9485818877353	194.789404521219	88.3974978276746	12.8006705920697	18.3692821219766	18.8532227471988	33.5374190965583	21.9031197531889	80.0192017712358	78.9891277645443	91.0443167039292	102.33978883358	22.2403840073675	27.4160190939664	34.8988198884765	14.8213010675142	17.7211442989921	91.0443167039292	14.9200862661164	18.7332305103478	39.6699644855061	25.4169748100439	18.9784576593742	29.2786869087839	33.5374190965583	22.1046687733395	12.8006705920697	64.7440773842507	194.789404521219	25.2087968022658	64.7440773842507	27.6594388244036	36.4524487118646	31.0936890938052	12.7036134161858	84.6483560509519	16.1876120776024	16.9196828398171	32.9257757739028	10.9616996180137	28.3355908749301	77.9614005626479
Gene_4	23.8754149027274	27.0294891972825	36.8578574029819	148.831263060236	22.9970604642188	22.3818731907291	40.7628210651578	27.0294891972825	39.1583742644538	16.4302806668997	66.4613422306072	10.1049896937369	13.633967072425	39.6699644855061	28.3355908749301	18.4977185904863	28.3355908749301	36.8578574029819	18.7332305103478	114.566216074651	15.322167457989	20.4940239782744	40.2913639817804	18.6103596096042	11.3806999176705	31.3597955123607	18.2381856555531	36.4524487118646	14.0624664039651	30.5534400572808	16.3261713538586	20.9808767648424	7.65711117465553	21.1361964452699	19.6711189233516	27.0294891972825	25.9924309426838	82.0269497509755	194.789404521219	194.789404521219	38.1747344366478	17.021511391073	9.64019908381624	88.3974978276746	14.238590484282	16.6223952925975	33.2541228825371	17.3590269000621	34.5224639013784	35.7158027672379
Gene_5	30.820146156842	17.2562965803303	17.1389841675355	17.3590269000621	16.1876120776024	19.2832982576816	82.0269497509755	23.1507393001381	82.0269497509755	91.0443167039292	148.831263060236	26.4111936868499	34.5224639013784	24.5063664548136	20.3639852957494	44.2148071908324	36.0759690080096	114.566216074651	17.3590269000621	66.4613422306072	16.7205020203962	15.547575710196	74.1583064605287	23.6562918031653	15.2138996044701	20.0736890447287	26.8334561112907	30.5534400572808	9.72099062071484	58.2091542789762	24.0442888635237	13.2618982297514	19.2832982576816	26.6194459758749	17.2562965803303	94.6327670427977	77.9614005626479	29.2786869087839	114.566216074651	42.1631804003446	37.2186761270286	39.6699644855061	41.3016919689148	118.1039431498	91.0443167039292	22.861279377073	36.0759690080096	62.9485818877353	44.862155362908	44.2148071908324
Gene_6	23.6562918031653	30.5534400572808	18.7332305103478	34.1792835759368	18.8532227471988	18.6103596096042	12.4309613473671	24.0442888635237	36.4524487118646	15.8409405262132	36.8578574029819	13.2618982297514	64.7440773842507	38.624113584329	16.8228910831014	26.1657088149116	28.8133328360634	10.7091441811774	38.624113584329	30.5534400572808	19.9075978306534	18.1252573446668	166.157261065325	32.666796662499	11.0480310045885	19.5248980122374	93.0063502603473	25.4169748100439	39.1583742644538	41.3016919689148	10.9616996180137	20.0736890447287	28.8133328360634	12.8006705920697	16.3261713538586	22.2403840073675	38.624113584329	96.4705544212345	86.3063973318494	93.0063502603473	8.04019607972946	17.1389841675355	21.9031197531889	102.33978883358	77.9614005626479	22.9970604642188	34.5224639013784	20.0736890447287	19.4152918921905	86.3063973318494
Gene_7	166.157261065325	15.2138996044701	22.861279377073	118.1039431498	36.4524487118646	25.2087968022658	43.2030607580277	15.7459250832863	41.3016919689148	36.0759690080096	32.666796662499	17.021511391073	20.0736890447287	34.1792835759368	19.7820170532126	23.3422176738772	17.2562965803303	16.7205020203962	23.8754149027274	43.2030607580277	18.2381856555531	23.1507393001381	35.2935631842966	22.9970604642188	32.666796662499	88.3974978276746	30.2955227107951	9.78878445610002	23.4820471925886	34.5224639013784	10.0166948511539	91.0443167039292	58.2091542789762	24.8684991437945	11.985674260235	21.7473670914607	98.2485577478967	98.2485577478967	60.9029170065286	44.2148071908324	30.2955227107951	35.2935631842966	29.0317041158245	194.789404521219	16.4302806668997	26.6194459758749	28.5687102225689	12.7036134161858	29.7497622801261	93.0063502603473
Gene_8	33.5374190965583	13.5339805315679	16.5289886528603	21.4214106622072	29.7497622801261	15.7459250832863	78.9891277645443	22.7150906939904	26.8334561112907	40.2913639817804	35.2935631842966	22.2403840073675	19.7820170532126	16.7205020203962	18.0042762445777	114.566216074651	8.67410667969554	15.8409405262132	28.1110930958084	28.8133328360634	8.51870320463968	38.1747344366478	18.8532227471988	30.014779884529	10.556287404865	31.6831485782793	39.6699644855061	21.9031197531889	22.1046687733395	44.2148071908324	9.72099062071484	27.0294891972825	26.8334561112907	33.8479582880642	21.7473670914607	148.831263060236	26.4111936868499	36.8578574029819	102.33978883358	88.3974978276746	27.0294891972825	40.7628210651578	10.0166948511539	66.4613422306072	33.5374190965583	24.5063664548136	66.4613422306072	32.9257757739028	110.537096273441	166.157261065325
Gene_9	31.3597955123607	25.2087968022658	166.157261065325	93.0063502603473	31.0936890938052	38.624113584329	16.3261713538586	17.7211442989921	30.2955227107951	88.3974978276746	128.933925721079	10.556287404865	23.1507393001381	21.2496788768274	36.4524487118646	40.2913639817804	77.9614005626479	16.4302806668997	12.6295802785727	128.933925721079	19.6711189233516	21.4214106622072	32.3254463744763	78.9891277645443	8.04019607972946	44.2148071908324	60.9029170065286	18.1252573446668	19.4152918921905	30.014779884529	14.3391848787193	12.9908866548917	23.6562918031653	5.75215956376681	22.7150906939904	194.789404521219	114.566216074651	26.4111936868499	70.4181244348388	114.566216074651	24.6873190308666	19.7820170532126	74.1583064605287	62.9485818877353	20.634731782982	19.9075978306534	80.0192017712358	66.4613422306072	13.3629927795396	40.2913639817804
Gene_10	21.9031197531889	16.4302806668997	15.8409405262132	31.9841538960417	27.205062861134	20.3639852957494	20.634731782982	29.7497622801261	102.33978883358	23.6562918031653	22.2403840073675	23.8754149027274	16.4302806668997	27.9022207475842	39.6699644855061	60.9029170065286	19.5248980122374	33.2541228825371	31.0936890938052	88.3974978276746	5.95932059008625	26.8334561112907	37.2186761270286	20.634731782982	9.49899485687041	74.1583064605287	26.1657088149116	25.2087968022658	24.8684991437945	30.2955227107951	28.5687102225689	24.8684991437945	22.7150906939904	23.6562918031653	32.3254463744763	14.1497806325212	29.4934840015776	71.6947252888393	74.1583064605287	20.9808767648424	38.624113584329	26.1657088149116	18.4977185904863	98.2485577478967	17.3590269000621	14.0624664039651	88.3974978276746	13.2618982297514	13.8052780040714	30.014779884529
