Genes	Healthy_Sample_1	Healthy_Sample_2	Healthy_Sample_3	Healthy_Sample_4	Healthy_Sample_5	Healthy_Sample_6	Healthy_Sample_7	Healthy_Sample_8	Healthy_Sample_9	Healthy_Sample_10	Healthy_Sample_11	Healthy_Sample_12	Healthy_Sample_13	Healthy_Sample_14	Healthy_Sample_15	Healthy_Sample_16	Healthy_Sample_17	Healthy_Sample_18	Healthy_Sample_19	Healthy_Sample_20	Healthy_Sample_21	Healthy_Sample_22	Healthy_Sample_23	Healthy_Sample_24	Healthy_Sample_25	Healthy_Sample_26	Healthy_Sample_27	Healthy_Sample_28	Healthy_Sample_29	Healthy_Sample_30	Healthy_Sample_31	Healthy_Sample_32	Healthy_Sample_33	Healthy_Sample_34	Healthy_Sample_35	Healthy_Sample_36	Healthy_Sample_37	Healthy_Sample_38	Healthy_Sample_39	Healthy_Sample_40	Healthy_Sample_41	Healthy_Sample_42	Healthy_Sample_43	Healthy_Sample_44	Healthy_Sample_45	Healthy_Sample_46	Healthy_Sample_47	Healthy_Sample_48	Healthy_Sample_49	Healthy_Sample_50
Gene_1	47.1999205082469	13.7273706018599	9.72872590591212	15.8301268024433	10.6259056672304	7.90082578257547	13.1743683680332	7.63217980237752	18.6712911515781	5.48911607279452	19.2771235449474	4.51994729292734	5.82709245463829	10.736714736619	10.2515504757151	15.8301268024433	10.0492529293162	11.6964581324981	54.5858342437315	21.8514598755075	9.04334898711668	4.68867859769807	102.527266316849	6.03009064216957	7.99431441713836	14.6254376158024	42.0921380121756	11.9758334405576	5.10661486294262	13.1057171245199	58.7569349007852	2.21235773587292	21.6170861944975	10.7909993166238	2.21235773587292	11.9758334405576	13.4376786273286	52.560919016783	42.7198736875391	77.8756074499819	7.30762869727681	13.6622868238754	8.80252493390918	21.8514598755075	13.6622868238754	7.49237741784359	14.1300511299207	12.7077198827285	14.6254376158024	52.560919016783
Gene_2	19.6167293736403	10.6259056672304	18.0893813413508	12.2298512369179	4.91703265698303	11.0650719193012	50.4794723161775	11.4573680351607	22.440690257256	11.4573680351607	54.5858342437315	5.16307075126598	6.60900685491028	9.9480011622066	16.0572684926662	13.7273706018599	9.34451173735634	13.7273706018599	12.5272659334655	12.7077198827285	6.60900685491028	14.1300511299207	17.1535318880636	5.16307075126598	11.519295399218	12.1744393276414	7.27086752194641	14.3682093418063	10.511308509667	38.5732180833289	11.519295399218	5.93300790292524	14.9629856402982	15.2443780151849	4.80966924303014	20.1001843713718	24.0724511314219	13.1743683680332	64.8432553104911	18.963872539649	19.9216881500432	17.9346972919715	6.8980526146834	43.6654820975222	13.9681487527369	10.6780797710531	48.6787714734995	8.12826575728845	6.79249975720138	16.5114767400998
Gene_3	10.511308509667	16.8320337022982	14.790902690711	16.9282187906793	5.93300790292524	16.6199309620497	7.94855742312801	9.9480011622066	20.2831857536648	32.6488951089176	47.1999205082469	5.93300790292524	7.35131889329766	8.94745052650199	17.7944910907704	10.4053199184768	16.3987134236129	32.6488951089176	47.1999205082469	46.0939037185004	8.80252493390918	12.2904403452653	15.1558089647236	6.69541847802178	8.17637614264666	37.5768389734225	6.84201087363627	8.12826575728845	18.963872539649	11.8163672667684	8.52879405583369	11.9180114787809	15.3327706799158	10.4053199184768	4.98949293865547	22.440690257256	68.0899347679625	12.7077198827285	34.7684258409713	10.1114176231623	17.0346867478776	13.1743683680332	5.82709245463829	21.6170861944975	6.65744855599328	10.1617357896903	15.1558089647236	5.44080051090955	10.511308509667	37.5768389734225
Gene_4	12.0430747761832	13.2416843764564	17.2755370781103	77.8756074499819	10.3033616113359	10.736714736619	16.9282187906793	13.2416843764564	17.1535318880636	7.90082578257547	35.657856428887	4.47067293751405	6.23589093855766	17.7944910907704	14.7107593582284	8.67825969902278	11.7547014100517	14.0476686671545	7.63217980237752	51.3676172321916	5.77267669827387	9.1965963423497	17.9346972919715	8.85829395142571	5.04516388224589	13.044316766151	7.90082578257547	16.8320337022982	6.60900685491028	14.1300511299207	7.44533775652045	8.90668034410158	2.21235773587292	9.9480011622066	8.47826849222933	11.6964581324981	10.9490007428862	35.657856428887	102.527266316849	86.0779561001107	17.9346972919715	7.76723118750557	3.75699404078734	22.1729608922363	6.36924549121204	10.0492529293162	15.4269593928486	7.90082578257547	13.2416843764564	18.5282605062036
Gene_5	15.1558089647236	8.94745052650199	7.35131889329766	8.94745052650199	7.81211389606926	8.67825969902278	19.1144795561109	11.7547014100517	32.6488951089176	17.1535318880636	77.8756074499819	12.7077198827285	13.6622868238754	11.1668760737443	9.53985313051418	19.1144795561109	13.8805963682409	60.9595136402892	6.65744855599328	20.9474851713091	6.55779722200068	6.65744855599328	22.440690257256	11.8670440969297	6.8980526146834	7.85039757712111	11.7547014100517	13.3709768009888	4.64262994404348	23.2043505634439	10.6780797710531	5.724369819343	8.90668034410158	12.7077198827285	7.22973839005062	47.1999205082469	18.963872539649	14.7107593582284	60.9595136402892	16.8320337022982	17.3878133613444	16.2899324868006	15.7170922668328	52.560919016783	45.1683381742695	13.1057171245199	17.0346867478776	15.3327706799158	15.9487494578221	22.8189793968739
Gene_6	11.9758334405576	14.790902690711	8.27100579933143	17.3878133613444	8.80252493390918	8.39733485521566	5.82709245463829	12.2904403452653	16.0572684926662	7.67320637834499	20.2831857536648	6.32278155718916	19.1144795561109	16.9282187906793	7.13211508620836	12.1155739371718	11.8163672667684	5.28629820370921	19.766192618473	13.3068561979335	8.08245026917248	7.99431441713836	86.0779561001107	15.9487494578221	4.64262994404348	7.53879140181194	35.657856428887	11.2163237208439	18.803660514718	19.9216881500432	4.80966924303014	8.67825969902278	13.1057171245199	4.75055636066751	6.69541847802178	9.89803216228792	14.8767424472945	47.1999205082469	46.0939037185004	22.440690257256	3.13616936358715	7.81211389606926	9.09664031979295	41.5126527521229	37.5768389734225	13.1743683680332	16.1779455050325	8.71854013727195	6.98979618506796	43.6654820975222
Gene_7	52.560919016783	8.17637614264666	10.736714736619	62.8262640818709	14.8767424472945	12.2298512369179	17.3878133613444	7.81211389606926	18.0893813413508	13.4376786273286	18.0893813413508	8.35445824950498	7.94855742312801	15.2443780151849	9.09664031979295	11.0054976815423	8.08245026917248	7.58095770328917	11.2798420256754	18.963872539649	7.17920880983965	10.2515504757151	15.2443780151849	11.4573680351607	15.4269593928486	35.657856428887	13.6622868238754	3.44268451561281	11.6380039744405	15.6282718366389	4.58115046950768	38.5732180833289	19.9216881500432	11.7547014100517	4.58115046950768	9.72872590591212	37.5768389734225	48.6787714734995	32.6488951089176	17.1535318880636	14.0476686671545	14.6254376158024	11.6380039744405	86.0779561001107	6.74185257648465	14.4493320015416	13.3068561979335	6.03009064216957	11.1180781818196	47.1999205082469
Gene_8	16.0572684926662	7.22973839005062	7.27086752194641	11.0054976815423	12.3476146259159	7.08432155418825	18.6712911515781	11.5785861095489	11.9180114787809	13.8805963682409	19.4455466216116	10.9490007428862	7.63217980237752	8.08245026917248	7.90082578257547	51.3676172321916	4.22659226228953	7.30762869727681	13.9681487527369	12.6405264548456	3.44268451561281	18.3998262131423	8.08245026917248	14.9629856402982	4.41286700653818	13.2416843764564	17.7944910907704	9.53985313051418	10.736714736619	21.212870524383	4.47067293751405	11.2163237208439	12.1155739371718	17.1535318880636	9.49242102080074	77.8756074499819	11.1180781818196	18.23667528445	54.5858342437315	21.8514598755075	12.5272659334655	16.6199309620497	4.16621552457773	18.0893813413508	16.6199309620497	13.9681487527369	23.6999222373446	12.3476146259159	41.5126527521229	77.8756074499819
Gene_9	15.4269593928486	12.5272659334655	86.0779561001107	46.0939037185004	12.7077198827285	18.3998262131423	8.12826575728845	9.24447613107962	13.3068561979335	17.0346867478776	68.0899347679625	4.91703265698303	9.39235620398077	10.0065575826383	19.4455466216116	18.0893813413508	16.0572684926662	7.44533775652045	4.35311511589876	64.8432553104911	7.99431441713836	9.53985313051418	14.0476686671545	35.657856428887	3.34937251063671	17.7944910907704	20.1001843713718	7.58095770328917	9.53985313051418	13.9681487527369	6.69541847802178	5.67256680317667	11.0054976815423	2.90079820621169	9.84167056451137	102.527266316849	48.6787714734995	13.4376786273286	37.5768389734225	46.0939037185004	11.4573680351607	8.71854013727195	18.5282605062036	17.5216145513048	9.44199732280661	11.8163672667684	38.5732180833289	16.3987134236129	5.38767506058308	21.212870524383
Gene_10	10.9490007428862	8.71854013727195	6.74185257648465	16.5114767400998	11.7547014100517	9.1965963423497	10.4053199184768	14.1300511299207	47.1999205082469	10.2069363146387	9.89803216228792	11.5785861095489	6.8980526146834	12.4662185237126	21.212870524383	19.9216881500432	9.14418191097619	13.1743683680332	15.4269593928486	33.763690448576	2.73043774701018	11.9758334405576	16.5114767400998	9.89803216228792	4.04827698183032	20.9474851713091	11.3989660951355	11.1180781818196	12.7077198827285	14.0476686671545	12.4074418544125	10.2515504757151	10.4053199184768	11.3989660951355	13.9681487527369	5.62730413206409	12.3476146259159	23.6999222373446	39.7541781426729	7.72538110695916	18.5282605062036	11.1668760737443	8.12826575728845	39.7541781426729	7.53879140181194	8.12826575728845	42.7198736875391	6.28121411503206	5.53635187831757	15.6282718366389
