Genes	Diseased_Sample_1	Diseased_Sample_2	Diseased_Sample_3	Diseased_Sample_4	Diseased_Sample_5	Diseased_Sample_6	Diseased_Sample_7	Diseased_Sample_8	Diseased_Sample_9	Diseased_Sample_10	Diseased_Sample_11	Diseased_Sample_12	Diseased_Sample_13	Diseased_Sample_14	Diseased_Sample_15	Diseased_Sample_16	Diseased_Sample_17	Diseased_Sample_18	Diseased_Sample_19	Diseased_Sample_20	Diseased_Sample_21	Diseased_Sample_22	Diseased_Sample_23	Diseased_Sample_24	Diseased_Sample_25	Diseased_Sample_26	Diseased_Sample_27	Diseased_Sample_28	Diseased_Sample_29	Diseased_Sample_30	Diseased_Sample_31	Diseased_Sample_32	Diseased_Sample_33	Diseased_Sample_34	Diseased_Sample_35	Diseased_Sample_36	Diseased_Sample_37	Diseased_Sample_38	Diseased_Sample_39	Diseased_Sample_40	Diseased_Sample_41	Diseased_Sample_42	Diseased_Sample_43	Diseased_Sample_44	Diseased_Sample_45	Diseased_Sample_46	Diseased_Sample_47	Diseased_Sample_48	Diseased_Sample_49	Diseased_Sample_50
Gene_1	16.9282187906793	17.3878133613444	17.9346972919715	6.79249975720138	12.1155739371718	6.03009064216957	18.5282605062036	12.2298512369179	11.0650719193012	42.0921380121756	5.62730413206409	3.84094860039579	8.22105949912106	19.4455466216116	11.0650719193012	5.22121812757944	5.97432414410656	12.1744393276414	77.8756074499819	11.9180114787809	10.3033616113359	14.6254376158024	12.6405264548456	4.11116841613671	23.2043505634439	13.8805963682409	10.4602039690111	20.1001843713718	18.803660514718	14.0476686671545	9.09664031979295	5.67256680317667	2.5293288334173	4.91703265698303	15.7170922668328	8.85829395142571	10.6259056672304	16.1779455050325	3.91727331393472	5.82709245463829	19.766192618473	6.36924549121204	13.4376786273286	19.4455466216116	6.55779722200068	16.1779455050325	14.3682093418063	12.4662185237126	6.84201087363627	9.09664031979295
Gene_2	14.4493320015416	11.9180114787809	7.17920880983965	4.51994729292734	7.58095770328917	8.62408836658689	15.1558089647236	15.6282718366389	10.9022394455191	12.1744393276414	24.8417370283284	2.90079820621169	15.6282718366389	24.8417370283284	11.4573680351607	14.0476686671545	9.1965963423497	9.78450029129418	9.89803216228792	10.8561301495702	10.736714736619	11.0650719193012	16.2899324868006	8.3118516389923	9.1965963423497	19.1144795561109	2.90079820621169	34.7684258409713	14.4493320015416	11.5785861095489	8.47826849222933	5.28629820370921	4.22659226228953	11.6380039744405	37.5768389734225	39.7541781426729	4.47067293751405	11.519295399218	5.38767506058308	6.51216125297158	19.1144795561109	9.49242102080074	9.14418191097619	12.3476146259159	5.04516388224589	6.28121411503206	13.7273706018599	14.2245884819411	6.51216125297158	24.8417370283284
Gene_3	16.0572684926662	12.4074418544125	7.53879140181194	3.98287175043656	18.3998262131423	9.58933882712519	17.3878133613444	8.3118516389923	13.6622868238754	10.9490007428862	22.1729608922363	6.69541847802178	60.9595136402892	19.6167293736403	34.7684258409713	15.6282718366389	19.1144795561109	11.9758334405576	8.99439938025693	46.0939037185004	14.790902690711	14.2245884819411	17.0346867478776	3.13616936358715	19.1144795561109	46.0939037185004	9.84167056451137	14.2245884819411	5.724369819343	18.6712911515781	3.61614444090234	2.5293288334173	4.75055636066751	5.58130186941876	10.5723286234465	10.0065575826383	5.33648800232459	22.440690257256	8.35445824950498	7.44533775652045	16.8320337022982	5.724369819343	19.766192618473	14.7107593582284	9.44199732280661	14.0476686671545	14.0476686671545	13.044316766151	11.8163672667684	21.212870524383
Gene_4	17.2755370781103	11.2163237208439	17.2755370781103	6.46493032992973	6.8980526146834	4.04827698183032	8.35445824950498	14.2245884819411	11.9758334405576	17.7944910907704	14.5397776011079	4.04827698183032	64.8432553104911	14.1300511299207	18.0893813413508	17.0346867478776	4.58115046950768	17.639005104627	6.74185257648465	11.1668760737443	15.9487494578221	21.8514598755075	8.47826849222933	3.75699404078734	17.639005104627	11.1180781818196	6.03009064216957	12.3476146259159	11.1180781818196	16.8320337022982	5.62730413206409	4.68867859769807	4.51994729292734	7.72538110695916	9.58933882712519	20.9474851713091	5.16307075126598	20.4848535237408	3.84094860039579	9.89803216228792	10.0065575826383	9.44199732280661	19.6167293736403	22.1729608922363	13.2416843764564	7.49237741784359	10.1617357896903	6.8980526146834	6.98979618506796	19.2771235449474
Gene_5	12.7077198827285	9.09664031979295	20.7270562470127	10.2069363146387	8.03619739454851	4.64262994404348	19.2771235449474	9.09664031979295	14.2866023144387	12.8480643531937	6.93799561189319	3.34937251063671	9.89803216228792	9.04334898711668	12.2298512369179	24.8417370283284	10.0065575826383	18.803660514718	3.61614444090234	12.4074418544125	21.212870524383	16.5114767400998	18.5282605062036	2.73043774701018	16.1779455050325	18.23667528445	5.04516388224589	32.6488951089176	11.2163237208439	5.93300790292524	4.11116841613671	4.98949293865547	4.68867859769807	10.8561301495702	10.2515504757151	9.78450029129418	7.13211508620836	12.6405264548456	3.02517085462687	10.2069363146387	14.5397776011079	9.1965963423497	39.7541781426729	20.4848535237408	4.51994729292734	14.4493320015416	12.0430747761832	6.03009064216957	11.2163237208439	8.71854013727195
Gene_6	16.2899324868006	12.0430747761832	8.85829395142571	11.519295399218	13.6622868238754	12.7077198827285	11.0650719193012	7.90082578257547	9.68160716804913	15.3327706799158	4.51994729292734	5.58130186941876	21.6170861944975	13.3709768009888	10.1114176231623	18.5282605062036	9.34451173735634	15.8301268024433	8.03619739454851	11.8670440969297	15.8301268024433	34.7684258409713	15.1558089647236	3.24089793182966	15.9487494578221	54.5858342437315	8.99439938025693	15.4269593928486	5.67256680317667	10.6259056672304	9.14418191097619	5.44080051090955	4.58115046950768	5.87566461385928	24.0724511314219	17.1535318880636	5.28629820370921	12.5769652715003	6.1838176130144	11.5785861095489	7.58095770328917	7.85039757712111	14.3682093418063	11.0650719193012	15.0530334715437	4.41286700653818	15.0530334715437	10.1114176231623	10.6259056672304	6.79249975720138
Gene_7	12.7822712342029	7.72538110695916	16.7291631171227	7.0360466930583	11.6964581324981	5.53635187831757	7.58095770328917	5.93300790292524	50.4794723161775	10.0065575826383	15.7170922668328	5.38767506058308	15.4269593928486	56.8041454134601	16.1779455050325	15.8301268024433	12.5272659334655	37.5768389734225	4.80966924303014	15.0530334715437	7.94855742312801	9.63363384269274	14.0476686671545	4.04827698183032	12.9114674302589	102.527266316849	9.29018551497404	16.8320337022982	6.69541847802178	5.48911607279452	4.80966924303014	4.41286700653818	3.84094860039579	6.8980526146834	8.22105949912106	15.6282718366389	3.44268451561281	46.0939037185004	5.82709245463829	3.75699404078734	13.7273706018599	7.39822465768567	86.0779561001107	51.3676172321916	5.44080051090955	6.69541847802178	7.90082578257547	10.1617357896903	14.8767424472945	14.2866023144387
Gene_8	43.6654820975222	14.7107593582284	9.1965963423497	8.52879405583369	14.8767424472945	9.04334898711668	15.4269593928486	4.80966924303014	37.5768389734225	30.6636778425514	11.8163672667684	3.91727331393472	86.0779561001107	8.08245026917248	11.519295399218	12.1744393276414	14.9629856402982	11.3989660951355	14.790902690711	17.3878133613444	11.7547014100517	13.3709768009888	19.2771235449474	2.21235773587292	9.84167056451137	21.6170861944975	12.2298512369179	45.1683381742695	9.84167056451137	21.8514598755075	12.8480643531937	6.51216125297158	3.61614444090234	12.3476146259159	7.58095770328917	11.5785861095489	15.5275077218809	16.7291631171227	6.0796084583769	11.6964581324981	7.81211389606926	8.99439938025693	14.8767424472945	41.5126527521229	7.30762869727681	14.790902690711	17.0346867478776	8.3118516389923	12.3476146259159	14.3682093418063
Gene_9	16.8320337022982	10.3033616113359	8.80252493390918	5.67256680317667	16.9282187906793	5.82709245463829	8.90668034410158	12.1744393276414	9.29018551497404	14.2866023144387	13.1743683680332	2.5293288334173	14.0476686671545	7.94855742312801	10.511308509667	7.67320637834499	6.65744855599328	43.6654820975222	14.2245884819411	24.0724511314219	13.4376786273286	17.1535318880636	62.8262640818709	4.68867859769807	9.09664031979295	22.440690257256	3.91727331393472	86.0779561001107	9.49242102080074	7.22973839005062	4.68867859769807	9.39235620398077	3.75699404078734	5.724369819343	6.98979618506796	46.0939037185004	7.27086752194641	13.6622868238754	5.28629820370921	10.6780797710531	8.47826849222933	5.48911607279452	11.3378817961024	17.639005104627	4.64262994404348	41.5126527521229	20.9474851713091	10.0492529293162	10.0065575826383	39.7541781426729
Gene_10	18.23667528445	8.39733485521566	6.93799561189319	5.82709245463829	18.5282605062036	21.212870524383	23.2043505634439	6.69541847802178	8.08245026917248	10.8561301495702	9.24447613107962	7.90082578257547	18.23667528445	11.3989660951355	17.5216145513048	11.8670440969297	10.511308509667	15.1558089647236	17.9346972919715	23.2043505634439	17.0346867478776	15.7170922668328	14.2245884819411	3.98287175043656	11.6964581324981	58.7569349007852	12.5769652715003	22.1729608922363	7.30762869727681	8.76242622343047	5.77267669827387	4.28890416982189	4.35311511589876	9.44199732280661	10.7909993166238	17.7944910907704	7.81211389606926	16.5114767400998	5.10661486294262	16.0572684926662	6.36924549121204	14.8767424472945	33.763690448576	10.9022394455191	10.2515504757151	8.17637614264666	77.8756074499819	8.94745052650199	4.98949293865547	14.1300511299207
